PING 10.0.2.22 (10.0.2.22) 56(84) bytes of data.
64 bytes from 10.0.2.22: icmp_seq=223 ttl=63 time=241 ms
64 bytes from 10.0.2.22: icmp_seq=224 ttl=63 time=244 ms
64 bytes from 10.0.2.22: icmp_seq=225 ttl=63 time=239 ms
64 bytes from 10.0.2.22: icmp_seq=226 ttl=63 time=243 ms
64 bytes from 10.0.2.22: icmp_seq=227 ttl=63 time=436 ms
64 bytes from 10.0.2.22: icmp_seq=228 ttl=63 time=438 ms
64 bytes from 10.0.2.22: icmp_seq=229 ttl=63 time=234 ms
64 bytes from 10.0.2.22: icmp_seq=230 ttl=63 time=237 ms
64 bytes from 10.0.2.22: icmp_seq=231 ttl=63 time=236 ms
64 bytes from 10.0.2.22: icmp_seq=232 ttl=63 time=235 ms
64 bytes from 10.0.2.22: icmp_seq=233 ttl=63 time=243 ms
64 bytes from 10.0.2.22: icmp_seq=234 ttl=63 time=252 ms
64 bytes from 10.0.2.22: icmp_seq=235 ttl=63 time=460 ms
64 bytes from 10.0.2.22: icmp_seq=236 ttl=63 time=454 ms
64 bytes from 10.0.2.22: icmp_seq=237 ttl=63 time=246 ms
64 bytes from 10.0.2.22: icmp_seq=238 ttl=63 time=240 ms
64 bytes from 10.0.2.22: icmp_seq=239 ttl=63 time=244 ms
64 bytes from 10.0.2.22: icmp_seq=240 ttl=63 time=244 ms
64 bytes from 10.0.2.22: icmp_seq=241 ttl=63 time=241 ms
64 bytes from 10.0.2.22: icmp_seq=242 ttl=63 time=242 ms
64 bytes from 10.0.2.22: icmp_seq=243 ttl=63 time=240 ms
64 bytes from 10.0.2.22: icmp_seq=244 ttl=63 time=241 ms
64 bytes from 10.0.2.22: icmp_seq=245 ttl=63 time=240 ms
64 bytes from 10.0.2.22: icmp_seq=246 ttl=63 time=242 ms
64 bytes from 10.0.2.22: icmp_seq=247 ttl=63 time=241 ms
64 bytes from 10.0.2.22: icmp_seq=248 ttl=63 time=245 ms
64 bytes from 10.0.2.22: icmp_seq=249 ttl=63 time=244 ms
64 bytes from 10.0.2.22: icmp_seq=250 ttl=63 time=248 ms
64 bytes from 10.0.2.22: icmp_seq=251 ttl=63 time=250 ms
64 bytes from 10.0.2.22: icmp_seq=252 ttl=63 time=247 ms
64 bytes from 10.0.2.22: icmp_seq=253 ttl=63 time=246 ms
64 bytes from 10.0.2.22: icmp_seq=254 ttl=63 time=247 ms
64 bytes from 10.0.2.22: icmp_seq=255 ttl=63 time=224 ms
64 bytes from 10.0.2.22: icmp_seq=256 ttl=63 time=174 ms
64 bytes from 10.0.2.22: icmp_seq=257 ttl=63 time=125 ms
64 bytes from 10.0.2.22: icmp_seq=258 ttl=63 time=133 ms
64 bytes from 10.0.2.22: icmp_seq=259 ttl=63 time=128 ms
64 bytes from 10.0.2.22: icmp_seq=260 ttl=63 time=126 ms
64 bytes from 10.0.2.22: icmp_seq=261 ttl=63 time=130 ms
64 bytes from 10.0.2.22: icmp_seq=262 ttl=63 time=131 ms
64 bytes from 10.0.2.22: icmp_seq=263 ttl=63 time=130 ms
64 bytes from 10.0.2.22: icmp_seq=264 ttl=63 time=134 ms
64 bytes from 10.0.2.22: icmp_seq=265 ttl=63 time=129 ms
64 bytes from 10.0.2.22: icmp_seq=266 ttl=63 time=129 ms
64 bytes from 10.0.2.22: icmp_seq=267 ttl=63 time=135 ms
64 bytes from 10.0.2.22: icmp_seq=268 ttl=63 time=133 ms
64 bytes from 10.0.2.22: icmp_seq=269 ttl=63 time=141 ms
64 bytes from 10.0.2.22: icmp_seq=270 ttl=63 time=143 ms
64 bytes from 10.0.2.22: icmp_seq=271 ttl=63 time=140 ms
64 bytes from 10.0.2.22: icmp_seq=272 ttl=63 time=141 ms
64 bytes from 10.0.2.22: icmp_seq=273 ttl=63 time=151 ms
64 bytes from 10.0.2.22: icmp_seq=274 ttl=63 time=143 ms
64 bytes from 10.0.2.22: icmp_seq=275 ttl=63 time=148 ms
64 bytes from 10.0.2.22: icmp_seq=276 ttl=63 time=146 ms
64 bytes from 10.0.2.22: icmp_seq=277 ttl=63 time=145 ms
64 bytes from 10.0.2.22: icmp_seq=278 ttl=63 time=150 ms
64 bytes from 10.0.2.22: icmp_seq=279 ttl=63 time=154 ms
64 bytes from 10.0.2.22: icmp_seq=280 ttl=63 time=154 ms
64 bytes from 10.0.2.22: icmp_seq=281 ttl=63 time=148 ms
64 bytes from 10.0.2.22: icmp_seq=282 ttl=63 time=143 ms
64 bytes from 10.0.2.22: icmp_seq=283 ttl=63 time=235 ms
64 bytes from 10.0.2.22: icmp_seq=284 ttl=63 time=235 ms
64 bytes from 10.0.2.22: icmp_seq=285 ttl=63 time=156 ms
64 bytes from 10.0.2.22: icmp_seq=286 ttl=63 time=151 ms
64 bytes from 10.0.2.22: icmp_seq=287 ttl=63 time=148 ms
64 bytes from 10.0.2.22: icmp_seq=288 ttl=63 time=157 ms
64 bytes from 10.0.2.22: icmp_seq=289 ttl=63 time=163 ms
64 bytes from 10.0.2.22: icmp_seq=290 ttl=63 time=161 ms
64 bytes from 10.0.2.22: icmp_seq=291 ttl=63 time=157 ms
64 bytes from 10.0.2.22: icmp_seq=292 ttl=63 time=159 ms
64 bytes from 10.0.2.22: icmp_seq=293 ttl=63 time=155 ms
