PING 10.0.2.22 (10.0.2.22) 56(84) bytes of data.
64 bytes from 10.0.2.22: icmp_seq=383 ttl=63 time=235 ms
64 bytes from 10.0.2.22: icmp_seq=384 ttl=63 time=237 ms
64 bytes from 10.0.2.22: icmp_seq=385 ttl=63 time=3274 ms
64 bytes from 10.0.2.22: icmp_seq=386 ttl=63 time=7175 ms
64 bytes from 10.0.2.22: icmp_seq=387 ttl=63 time=8926 ms
64 bytes from 10.0.2.22: icmp_seq=388 ttl=63 time=8925 ms
64 bytes from 10.0.2.22: icmp_seq=389 ttl=63 time=8950 ms
64 bytes from 10.0.2.22: icmp_seq=390 ttl=63 time=8930 ms
64 bytes from 10.0.2.22: icmp_seq=391 ttl=63 time=8944 ms
64 bytes from 10.0.2.22: icmp_seq=392 ttl=63 time=8944 ms
64 bytes from 10.0.2.22: icmp_seq=393 ttl=63 time=8934 ms
64 bytes from 10.0.2.22: icmp_seq=394 ttl=63 time=8928 ms
64 bytes from 10.0.2.22: icmp_seq=395 ttl=63 time=8946 ms
From 10.0.1.1 icmp_seq=478 Destination Host Unreachable
64 bytes from 10.0.2.22: icmp_seq=396 ttl=63 time=8936 ms
64 bytes from 10.0.2.22: icmp_seq=397 ttl=63 time=8906 ms
64 bytes from 10.0.2.22: icmp_seq=398 ttl=63 time=8804 ms
64 bytes from 10.0.2.22: icmp_seq=399 ttl=63 time=8701 ms
64 bytes from 10.0.2.22: icmp_seq=400 ttl=63 time=8597 ms
64 bytes from 10.0.2.22: icmp_seq=401 ttl=63 time=8494 ms
64 bytes from 10.0.2.22: icmp_seq=402 ttl=63 time=8392 ms
64 bytes from 10.0.2.22: icmp_seq=403 ttl=63 time=8289 ms
64 bytes from 10.0.2.22: icmp_seq=404 ttl=63 time=8189 ms
64 bytes from 10.0.2.22: icmp_seq=405 ttl=63 time=8086 ms
64 bytes from 10.0.2.22: icmp_seq=406 ttl=63 time=7984 ms
64 bytes from 10.0.2.22: icmp_seq=407 ttl=63 time=7879 ms
64 bytes from 10.0.2.22: icmp_seq=408 ttl=63 time=7769 ms
64 bytes from 10.0.2.22: icmp_seq=409 ttl=63 time=7667 ms
64 bytes from 10.0.2.22: icmp_seq=410 ttl=63 time=7566 ms
64 bytes from 10.0.2.22: icmp_seq=411 ttl=63 time=7458 ms
64 bytes from 10.0.2.22: icmp_seq=412 ttl=63 time=7358 ms
64 bytes from 10.0.2.22: icmp_seq=413 ttl=63 time=7258 ms
64 bytes from 10.0.2.22: icmp_seq=414 ttl=63 time=7157 ms
64 bytes from 10.0.2.22: icmp_seq=415 ttl=63 time=7056 ms
